iter	RMSE
0	14.60791534
1	14.23757763
2	13.86464102
3	13.50290939
4	13.15094646
5	12.85103923
6	12.54530743
7	12.29283345
8	12.00595774
9	11.70641677
10	11.42114347
11	11.18030928
12	10.93289099
13	10.6906623
14	10.4638222
15	10.23971329
16	10.01983433
17	9.820118345
18	9.620382384
19	9.4359091
20	9.284999175
21	9.126963269
22	8.963242786
23	8.797292093
24	8.642657222
25	8.503633678
26	8.356035943
27	8.229151192
28	8.117495566
29	7.997316805
30	7.883372557
31	7.762320445
32	7.6704503
33	7.568073707
34	7.458303934
35	7.362989999
36	7.260220448
37	7.173584828
38	7.090940017
39	7.01435092
40	6.94080024
41	6.881471651
42	6.802887795
43	6.751266637
44	6.687184638
45	6.622826841
46	6.562423817
47	6.50528731
48	6.44578141
49	6.393368238
50	6.349283702
51	6.297951247
52	6.253035674
53	6.20980032
54	6.166510036
55	6.125551809
56	6.089672908
57	6.052722925
58	6.013936987
59	5.979426169
60	5.947801688
61	5.916275574
62	5.884313619
63	5.850094163
64	5.823270624
65	5.795188415
66	5.769119414
67	5.740599751
68	5.720656574
69	5.696282277
70	5.674496109
71	5.652263827
72	5.632992394
73	5.613707432
74	5.594598322
75	5.573947454
76	5.556475154
77	5.536227458
78	5.52363296
79	5.506470689
80	5.493577039
81	5.474967314
82	5.462550604
83	5.454640255
84	5.440074241
85	5.427893989
86	5.414642722
87	5.40003338
88	5.386932629
89	5.371667661
90	5.359868847
91	5.348494778
92	5.338137028
93	5.331314987
94	5.320841248
95	5.311907261
96	5.298446303
97	5.28580918
98	5.274455725
99	5.269369591
100	5.261379908
101	5.250045192
102	5.241571618
103	5.228425661
104	5.222481466
105	5.214147944
106	5.204788577
107	5.197673593
108	5.190734719
109	5.179399899
110	5.176027239
111	5.166924473
112	5.156491988
113	5.149486065
114	5.144510068
115	5.141735227
116	5.137016985
117	5.131510455
118	5.126704145
119	5.12194246
120	5.114473181
121	5.109902082
122	5.102327455
123	5.094480273
124	5.091421185
125	5.086423108
126	5.079064304
127	5.074081391
128	5.067042176
129	5.05964118
130	5.056861443
131	5.050845363
132	5.045337568
133	5.04140797
134	5.03816291
135	5.034528797
136	5.030776034
137	5.023218876
138	5.016836734
139	5.008661906
140	5.004277159
141	5.000459454
142	4.994293704
143	4.989463714
144	4.984460405
145	4.980783917
146	4.974141307
147	4.971460864
148	4.968699617
149	4.967652169
150	4.964651033
151	4.959898675
152	4.956896385
153	4.951974459
154	4.948728616
155	4.943753434
156	4.937668237
157	4.93219437
158	4.92984669
159	4.925516288
160	4.920110466
161	4.914274224
162	4.909326781
163	4.905653501
164	4.905184912
165	4.901710532
166	4.895514726
167	4.889986841
168	4.885324636
169	4.879978506
170	4.8754651
171	4.870292406
172	4.867440782
173	4.863040607
174	4.857850439
175	4.85292395
176	4.848883588
177	4.846394441
178	4.841786827
179	4.835471853
180	4.831539175
181	4.826521598
182	4.821170591
183	4.816955585
184	4.814271424
185	4.809570334
186	4.807598863
187	4.805229698
188	4.801722887
189	4.798237065
190	4.793862524
191	4.790347418
192	4.785394567
193	4.781726835
194	4.77813895
195	4.776182982
196	4.772265132
197	4.769111768
198	4.765692653
199	4.76339875
200	4.758890553
201	4.757037519
202	4.75527248
203	4.751374684
204	4.747859471
205	4.743717361
206	4.740502105
207	4.734096307
208	4.730870881
209	4.726925108
210	4.724655909
211	4.721761576
212	4.719454141
213	4.713556616
214	4.709831466
215	4.706996899
216	4.700709104
217	4.698888811
218	4.696564227
219	4.693400305
220	4.690286637
221	4.687564276
222	4.685249954
223	4.685107862
224	4.68335312
225	4.680928783
226	4.676982824
227	4.676199253
228	4.672518333
229	4.667608189
230	4.665229216
231	4.66376885
232	4.661785684
233	4.659222044
234	4.657555279
235	4.656031645
236	4.650747604
237	4.646808209
238	4.645265373
239	4.639749652
240	4.634800928
241	4.629930482
242	4.627208931
243	4.622160949
244	4.616063249
245	4.61428031
246	4.60875593
247	4.605273948
248	4.601271829
249	4.596200425
250	4.591536172
251	4.58918462
252	4.58433408
253	4.582255459
254	4.577924728
255	4.576539831
256	4.570354559
257	4.569734515
258	4.565440296
259	4.564272354
260	4.562280713
261	4.561598249
262	4.557358038
263	4.556220828
264	4.552823385
265	4.551761764
266	4.545189802
267	4.540110205
268	4.536503777
269	4.533522189
270	4.529070208
271	4.524254883
272	4.519092858
273	4.514104003
274	4.512003743
275	4.503885379
276	4.498399236
277	4.493848814
278	4.492548345
279	4.487674963
280	4.48561209
281	4.482362603
282	4.480412915
283	4.478549115
284	4.478033032
285	4.476338308
286	4.473823521
287	4.470648828
288	4.468301024
289	4.465850388
290	4.462581975
291	4.459281912
292	4.45686797
293	4.451647616
294	4.449448137
295	4.445877593
296	4.443034942
297	4.437713948
298	4.434002329
299	4.433373189
300	4.430473432
301	4.42849802
302	4.42463099
303	4.423665006
304	4.422030048
305	4.419793106
306	4.415463859
307	4.414346164
308	4.407063448
309	4.405495984
310	4.404120749
311	4.402759713
312	4.398256703
313	4.396386364
314	4.391668373
315	4.386183501
316	4.382558457
317	4.377382083
318	4.372583205
319	4.365470391
320	4.360863712
321	4.357667244
322	4.354640755
323	4.353105641
324	4.349514705
325	4.344798147
326	4.337617271
327	4.334300401
328	4.330993242
329	4.328213348
330	4.324923588
331	4.321020918
332	4.319941863
333	4.314859008
334	4.312586638
335	4.308026269
336	4.305623723
337	4.299897922
338	4.298767312
339	4.29162347
340	4.288472107
341	4.285557503
342	4.282474661
343	4.278806063
344	4.273845387
345	4.271083084
346	4.265028218
347	4.260765853
348	4.25718182
349	4.254364452
350	4.250481441
351	4.250239706
352	4.246753557
353	4.242604837
354	4.238557541
355	4.237714232
356	4.233298417
357	4.228705607
358	4.224725634
359	4.223429914
360	4.222745264
361	4.21869281
362	4.214173144
363	4.209192661
364	4.206896609
365	4.203106128
366	4.199310746
367	4.199084259
368	4.198190407
369	4.193950549
370	4.190081761
371	4.188179449
372	4.183007463
373	4.181113388
374	4.176560976
375	4.171876117
376	4.169172767
377	4.164838833
378	4.161564607
379	4.156383394
380	4.150127856
381	4.146071079
382	4.145142439
383	4.143949818
384	4.143223476
385	4.139373443
386	4.135789806
387	4.133933809
388	4.129794854
389	4.126537219
390	4.123620765
391	4.123417793
392	4.119416779
393	4.116540534
394	4.115853654
395	4.114888482
396	4.114437216
397	4.11316057
398	4.109749693
399	4.108515247
400	4.105855706
401	4.10307832
402	4.100352486
403	4.097412736
404	4.095043253
405	4.094528784
406	4.091202242
407	4.0874833
408	4.083632895
409	4.080098134
410	4.076904287
411	4.076048059
412	4.074925455
413	4.071370884
414	4.070137711
415	4.066693036
416	4.062605919
417	4.060004504
418	4.058255275
419	4.057323889
420	4.052694747
421	4.048765099
422	4.045137197
423	4.041379336
424	4.037104023
425	4.036294137
426	4.035608386
427	4.030683047
428	4.029614651
429	4.02785962
430	4.024647128
431	4.021174017
432	4.01798334
433	4.017425248
434	4.013379395
435	4.012173881
436	4.009952928
437	4.004951725
438	4.002136023
439	3.998012846
440	3.996952675
441	3.994128473
442	3.991815501
443	3.990989027
444	3.989640575
445	3.988408739
446	3.986961192
447	3.983420893
448	3.980571685
449	3.978436933
450	3.974904094
451	3.971222158
452	3.969096463
453	3.966576245
454	3.963762095
455	3.961908933
456	3.959434156
457	3.958860709
458	3.958216223
459	3.956847741
460	3.954055012
461	3.950883134
462	3.949396991
463	3.945336129
464	3.942105254
465	3.939256823
466	3.936340217
467	3.933211353
468	3.928867505
469	3.923364958
470	3.920069624
471	3.917606393
472	3.912839843
473	3.912043746
474	3.910648493
475	3.906643361
476	3.903549848
477	3.899699803
478	3.897547001
479	3.897300853
480	3.896331225
481	3.892459936
482	3.890239424
483	3.886509782
484	3.885950316
485	3.883846457
486	3.878788803
487	3.877171111
488	3.874279388
489	3.872325054
490	3.86876954
491	3.86739559
492	3.865057272
493	3.863486874
494	3.861558206
495	3.858191415
496	3.855372559
497	3.853844341
498	3.851528839
499	3.848127132
500	3.84765464
501	3.844921296
502	3.843522539
503	3.843134202
504	3.840715692
505	3.837785251
506	3.834849041
507	3.834514267
508	3.832622167
509	3.830214723
510	3.827038566
511	3.826165937
512	3.823296183
513	3.823108551
514	3.821895538
515	3.820345795
516	3.815902952
517	3.813601999
518	3.8100011
519	3.807253867
520	3.801920251
521	3.801210832
522	3.797656164
523	3.795975656
524	3.792972762
525	3.791246392
526	3.789421819
527	3.784494252
528	3.779717121
529	3.779649479
530	3.777187276
