iter	Passed	Remaining
0	143	143006
1	143	71687
2	144	47893
3	144	35990
4	144	28847
5	145	24093
6	146	20716
7	146	18164
8	146	16177
9	147	14591
10	147	13294
11	148	12213
12	148	11297
13	149	10513
14	149	9832
15	150	9236
16	150	8709
17	151	8241
18	151	7821
19	151	7446
20	152	7109
21	152	6797
22	153	6513
23	153	6256
24	154	6017
25	154	5795
26	155	5593
27	155	5404
28	156	5226
29	156	5061
30	156	4905
31	157	4760
32	157	4623
33	158	4494
34	158	4373
35	159	4260
36	159	4152
37	160	4051
38	160	3956
39	161	3864
40	161	3775
41	161	3694
42	162	3614
43	162	3537
44	163	3464
45	163	3396
46	164	3329
47	164	3264
48	165	3202
49	165	3143
50	165	3086
51	166	3031
52	166	2979
53	167	2928
54	167	2880
55	168	2833
56	168	2788
57	169	2744
58	169	2702
59	169	2661
60	170	2621
61	170	2582
62	171	2545
63	171	2509
64	172	2474
65	172	2443
66	173	2411
67	173	2380
68	174	2349
69	174	2320
70	175	2291
71	175	2263
72	176	2235
73	176	2209
74	176	2182
75	177	2156
76	177	2131
77	178	2106
78	178	2083
79	179	2059
80	179	2035
81	179	2013
82	180	1992
83	180	1970
84	181	1950
85	181	1930
86	182	1911
87	182	1891
88	183	1873
89	183	1855
90	183	1837
91	184	1819
92	184	1802
93	185	1785
94	185	1768
95	186	1753
96	186	1738
97	187	1722
98	187	1707
99	188	1693
100	188	1678
101	189	1664
102	189	1649
103	189	1635
104	190	1622
105	190	1608
106	191	1595
107	191	1582
108	192	1570
109	192	1557
110	192	1544
111	193	1532
112	193	1520
113	194	1508
114	194	1496
115	194	1483
116	195	1472
117	195	1462
118	196	1451
119	196	1440
120	196	1430
121	197	1420
122	197	1410
123	198	1400
124	198	1390
125	199	1381
126	199	1372
127	200	1363
128	200	1354
129	201	1345
130	201	1337
131	201	1328
132	202	1319
133	202	1310
134	203	1302
135	203	1294
136	204	1286
137	204	1278
138	205	1270
139	205	1262
140	205	1254
141	206	1247
142	206	1239
143	207	1232
144	207	1225
145	208	1218
146	208	1210
147	209	1203
148	209	1196
149	209	1188
150	210	1181
151	210	1174
152	211	1168
153	211	1161
154	211	1155
155	212	1149
156	212	1143
157	213	1137
158	213	1131
159	214	1124
160	214	1119
161	215	1113
162	215	1107
163	216	1101
164	216	1095
165	216	1089
166	217	1083
167	217	1078
168	218	1072
169	218	1067
170	218	1061
171	219	1056
172	219	1051
173	220	1046
174	220	1040
175	221	1035
176	221	1030
177	222	1025
178	222	1020
179	222	1015
180	223	1010
181	223	1006
182	224	1001
183	224	996
184	225	991
185	225	987
186	226	983
187	226	978
188	227	974
189	227	970
190	228	965
191	228	961
192	228	957
193	229	952
194	229	948
195	230	944
196	230	939
197	231	935
198	231	932
199	232	928
200	232	924
201	232	920
202	233	916
203	233	912
204	234	908
205	234	904
206	235	900
207	235	897
208	236	893
209	236	889
210	236	885
211	237	882
212	237	878
213	238	874
214	238	871
215	239	868
216	239	865
217	240	861
218	240	858
219	241	854
220	241	851
221	241	848
222	242	844
223	242	840
224	243	837
225	243	834
226	243	830
227	244	827
228	244	824
229	245	821
230	245	817
231	246	814
232	246	811
233	246	808
234	247	805
235	247	802
236	248	799
237	248	796
238	249	793
239	249	790
240	249	787
241	250	784
242	250	781
243	251	778
244	251	775
245	252	772
246	252	770
247	253	767
248	253	764
249	253	761
250	254	759
251	254	756
252	255	754
253	255	751
254	256	749
255	256	746
256	257	743
257	257	741
258	258	738
259	258	735
260	258	733
261	259	730
262	259	728
